816924/1970,{22047E48-EC60-4497-A010-98E79186D262},816924,1970,1000,OF MINING CONCESSION,436 - CONC LAV / DOCUMENT IN SEVERAL filed 26/03/2018,Arrossensal Agropecuária e Industrial S A,GOLD,Uninformed,MT
805981/1972,{8C9E7F5D-6981-41A8-B835-B86085AC2D70},805981,1972,1160.14,APPLICATION TILL,336 - REQ LAV / SEVERAL DOCUMENT filed on 18/09/2008,Construções e Comércio Camargo Corrêa S.A,GOLD,Uninformed,MT
805982/1972,{FC4D3862-2683-4404-B1F4-387759464E01},805982,1972,3886.64,OF MINING CONCESSION,694 - PAY INSPECTION IN MONITORING 18.04.2018 MADE,Arrossensal Agropecuária e Industrial S A,GOLD ORE,Industrial,MT
805983/1972,{1B4BAE26-CDA2-4972-A823-B74A56250621},805983,1972,1762,APPLICATION TILL,336 - REQ LAV / SEVERAL DOCUMENT filed on 18/09/2008,Construções e Comércio Camargo Corrêa S.A,GOLD,Uninformed,MT
818196/1972,{D98ECFF2-CF3F-4332-A8D5-E4A67ECA6B8F},818196,1972,680,OF MINING CONCESSION,694 - PAY INSPECTION SURVEILLANCE made in 11/27/2020,Votorantim Cimentos S A,LIMESTONE,Uninformed,MT
806578/1973,{B7C7569A-049A-4A1B-9D05-BB11C5ED7F6B},806578,1973,769.5,OF MINING CONCESSION,436 - CONC LAV / DOCUMENT IN SEVERAL filed 14/05/2019,Companhia Matogrossense de Mineração,LIMESTONE dolomitic,Uninformed,MT
814943/1974,{7E38CB67-E30C-40FE-8D59-8D6F79E0B07B},814943,1974,493.4,OF MINING CONCESSION,1733 - CONC LAV / RAL REQUIREMENT OF COMPLIANCE ON 06/03/2020,Copacel Indústria e Comercio de Calcário e Cereais Ltda,LIMESTONE,Uninformed,MT
806192/1975,{183924C5-0E21-41CE-8AED-C9873CC42781},806192,1975,342.55,OF MINING CONCESSION,418 - CONC LAV / ADR base year PRESENTED IN 13.03.1987,RUI QUINTINO DALLA SANTA,LIMESTONE dolomitic,Uninformed,MT
810384/1975,{4F3976CD-F3E6-42E5-826D-298719D02C0F},810384,1975,147.13,OF MINING CONCESSION,418 - CONC LAV / ADR base year PRESENTED IN 13.03.1987,Ecoplan Mineração Ltda,LIMESTONE dolomitic,Uninformed,MT
800098/1976,{18F80A55-7A2E-4F56-AB1D-56EE88E2FBE6},800098,1976,678.5,OF MINING CONCESSION,436 - CONC LAV / DOCUMENT IN SEVERAL filed 26/03/2018,Arrossensal Agropecuária e Industrial S A,GRAVEL diamond,Uninformed,MT
801823/1978,{D0A3CC69-36B3-4EDA-A15F-80A9F28FB1D5},801823,1978,573,OF MINING CONCESSION,694 - PAY INSPECTION SURVEILLANCE made in 11/27/2020,Votorantim Cimentos S A,LIMESTONE,Uninformed,MT
801824/1978,{8E785952-4747-4B1E-A3FC-5D173C9463DA},801824,1978,730,OF MINING CONCESSION,694 - PAY INSPECTION SURVEILLANCE made in 11/27/2020,Votorantim Cimentos S A,LIMESTONE,Uninformed,MT
860233/1979,{DE09161A-0F8B-4F19-A4C0-0FB9B9BC251D},860233,1979,629.9,OF MINING CONCESSION,694 - PAY INSPECTION SURVEILLANCE made in 11/14/2019,Votorantim Cimentos S A,CLAY,Uninformed,MT
861214/1979,{83BCA68A-9B72-48FA-8B17-DE1A4D7FD6B7},861214,1979,5657.54,APPLICATION TILL,1042 - LAV REQ / TOTAL -CESSÃO RIGHTS TRANSFER PROTOCOL IN REQ LAV 11.23.2015,Intercement Brasil S A,GOLD,Uninformed,MT
861216/1979,{5C22F55C-C5B5-4F44-8A14-BBF1017D26D2},861216,1979,9310,APPLICATION TILL,1042 - LAV REQ / TOTAL -CESSÃO RIGHTS TRANSFER PROTOCOL IN REQ LAV 11.23.2015,Intercement Brasil S A,GOLD,Uninformed,MT
866452/1984,{E17726B2-E3D3-4383-B63D-34383118C35D},866452,1984,341.49,OF MINING CONCESSION,1743 - CONC LAV / RAL RECTIFIER REQUIREMENT OF COMPLIANCE ON 06/03/2020,Emal Empresa de Mineração Aripuanã Ltda,LIMESTONE,Uninformed,MT
866912/1984,{3E547F27-AB0A-42D2-9236-90031E28C9F9},866912,1984,4321.6,OF MINING CONCESSION,436 - CONC LAV / DOCUMENT IN SEVERAL filed 26/03/2018,Arrossensal Agropecuária e Industrial S A,GOLD,Uninformed,MT
866173/1986,{A743FA4E-372B-4FBE-9189-C876C5443473},866173,1986,150.89,OF MINING CONCESSION,436 - CONC LAV / DOCUMENT IN SEVERAL filed 02/09/2019,Indústria e Comércio de Calcário Cuiabá Ltda,DOLOMITE,soil amendments,MT
866553/1990,{E48A9CDD-7B07-47C6-8700-227C64C42291},866553,1990,665,OF MINING CONCESSION,694 - PAY INSPECTION SURVEILLANCE made in 11/14/2019,Votorantim Cimentos S A,laterite,Industrial,MT
