,index,ID,FASE,AREA_HA,SUBS,USO,UF,status,leyenda,Area_Calc,distance,mining,Urban_Area,YIELD,biomass_to,geometry
0,0,{22047E48-EC60-4497-A010-98E79186D262},LAVRA CONCESSION,1000.0,GOLD,Uninformed,MT,Exploitation,in exploration,1003.6730700216416,30501.894841041783,False,0,60328.63,265547.4402334972,"POLYGON Z ((-6109234.641813053 -1590719.076169845 0, -6111731.371325385 -1590718.945182069 0, -6112713.137761402 -1586698.944716036 0, -6110216.405803232 -1586699.075370225 0, -6109234.641813053 -1590719.076169845 0))"
1,1,{8C9E7F5D-6981-41A8-B835-B86085AC2D70},LAVRA APPLICATION,1160.14,GOLD,Uninformed,MT,In application,in operation,1164.3704892125136,30877.646469708372,False,0,60328.63,38031.94231035582,"POLYGON Z ((-6113383.883366257 -1593754.116091635 0, -6114382.567231877 -1593754.093852626 0, -6114223.607172246 -1594402.316416432 0, -6115422.040475422 -1594402.236356 0, -6115180.398625887 -1595387.131962331 0, -6120114.096490349 -1595386.191585773 0, -6120538.60020406 -1593655.590047908 0, -6118351.363995712 -1593656.127564787 0, -6118265.858693408 -1594004.861156235 0, -6115519.395627043 -1594005.263015151 0, -6115765.758480474 -1593000.266568082 0, -6115316.344250279 -1593000.303262446 0, -6115439.468636245 -1592497.804705327 0, -6114690.449159818 -1592497.847849006 0, -6114875.06445842 -1591744.099624142 0, -6113876.380170409 -1591744.121974345 0, -6113383.883366257 -1593754.116091635 0))"
2,2,{FC4D3862-2683-4404-B1F4-387759464E01},LAVRA CONCESSION,3886.64,GOLD,Industrial,MT,Exploitation,in exploration,3900.880579732955,27251.163016974977,False,0,60328.63,340481.85038266156,"POLYGON Z ((-6109620.217615514 -1591729.527067799 0, -6109120.879192051 -1591729.523175976 0, -6108505.59813136 -1594242.015405603 0, -6110193.370727389 -1594241.988274013 0, -6110378.055060155 -1593488.241161094 0, -6111876.101921945 -1593488.12084805 0, -6112060.701051425 -1592734.373290355 0, -6113658.642306572 -1592734.145118107 0, -6113400.179243718 -1593789.391387538 0, -6114398.905012923 -1593789.196462613 0, -6114240.051706255 -1594437.41869283 0, -6115438.535256572 -1594437.131364821 0, -6115197.055644177 -1595422.026415176 0, -6119531.687287135 -1595420.502486987 0, -6119112.447139685 -1597128.990331282 0, -6121259.854693786 -1597127.953215033 0, -6122122.51862058 -1593610.478104122 0, -6121972.697946778 -1593610.556385439 0, -6122440.222437344 -1591701.065693489 0, -6123139.38728767 -1591700.693412454 0, -6124035.988402954 -1588032.454712716 0, -6121738.749264618 -1588033.601578483 0, -6120694.568991503 -1592304.840592759 0, -6120894.326783775 -1592304.749079232 0, -6120555.177825376 -1593689.632413067 0, -6118367.850838377 -1593690.54810432 0, -6118282.403008651 -1594039.28147338 0, -6115535.825075937 -1594040.158246366 0, -6115782.022594091 -1593035.162244072 0, -6115332.589507746 -1593035.276663777 0, -6115455.631199206 -1592532.778440246 0, -6114706.580465211 -1592532.950792574 0, -6114891.0717705 -1591779.202901292 0, -6113892.345575996 -1591779.397715023 0, -6113843.156250395 -1591980.397226831 0, -6113293.861093863 -1591980.487183625 0, -6113343.050417294 -1591779.487671823 0, -6112594.016269284 -1591779.590749633 0, -6112667.788720896 -1591478.091370734 0, -6112168.435636594 -1591478.147524236 0, -6112229.902228441 -1591226.897967685 0, -6109743.160026378 -1591227.028065898 0, -6109620.217615514 -1591729.527067799 0))"
3,3,{1B4BAE26-CDA2-4972-A823-B74A56250621},LAVRA APPLICATION,1762.0,GOLD,Uninformed,MT,In application,in operation,1768.4828529443514,33197.031283015545,False,0,60328.63,161295.63633135916,"POLYGON Z ((-6120142.457053324 -1595399.89570876 0, -6119543.251854537 -1595399.889815421 0, -6119123.237426175 -1597108.3803284 0, -6121270.405124925 -1597108.334516036 0, -6122134.663240866 -1593590.851732671 0, -6121984.859185937 -1593590.860961858 0, -6122453.247657157 -1591681.36615569 0, -6123152.335138382 -1591681.315561946 0, -6124050.593509507 -1588013.068188991 0, -6121753.607543194 -1588013.160814469 0, -6120707.498760642 -1592284.406945223 0, -6120907.23440679 -1592284.407278811 0, -6120142.457053324 -1595399.89570876 0))"
4,4,{83BCA68A-9B72-48FA-8B17-DE1A4D7FD6B7},LAVRA APPLICATION,5657.54,GOLD,Uninformed,MT,In application,in operation,5678.537578573281,39529.71314331842,False,0,60328.63,1045150.4033694488,"POLYGON Z ((-6121563.277439954 -1588809.795858927 0, -6121757.271139664 -1588016.850488682 0, -6123813.574373103 -1588016.761087864 0, -6124847.344917271 -1583784.696535178 0, -6127843.492389107 -1583784.263096867 0, -6129311.791648 -1577754.227927349 0, -6122121.174484661 -1577754.661921636 0, -6120652.885251642 -1583784.698759081 0, -6121851.284804733 -1583784.770035108 0, -6120623.524011986 -1588809.780069232 0, -6121563.277439954 -1588809.795858927 0))"
5,5,{5C22F55C-C5B5-4F44-8A14-BBF1017D26D2},LAVRA APPLICATION,9310.0,GOLD,Uninformed,MT,In application,in operation,9344.650850360395,14680.375998854875,False,0,60328.63,1437292.6969076616,"POLYGON Z ((-6108668.428330585 -1592873.647761637 0, -6105972.031019231 -1592873.507099898 0, -6106168.836719663 -1592069.509275067 0, -6098179.935075522 -1592067.371550197 0, -6098548.679782322 -1590559.876434808 0, -6095553.005502672 -1590558.412885532 0, -6095798.644414466 -1589553.416216069 0, -6094300.840905091 -1589552.54945064 0, -6095159.378769627 -1586035.056882107 0, -6090666.098008522 -1586031.921848814 0, -6088380.764956293 -1595378.362230972 0, -6098066.496484173 -1595384.145152036 0, -6098189.699979669 -1594881.64815165 0, -6108175.987459405 -1594883.640433394 0, -6108668.428330585 -1592873.647761637 0))"
6,6,{3E547F27-AB0A-42D2-9236-90031E28C9F9},LAVRA CONCESSION,4321.6,GOLD,Uninformed,MT,Exploitation,in exploration,4337.20212120038,27693.606128627398,False,0,60328.63,983654.5191692433,"POLYGON Z ((-6109941.616810934 -1591784.188887427 0, -6110064.570120391 -1591281.689774326 0, -6112761.040311968 -1591281.537548304 0, -6113006.83360012 -1590276.538877332 0, -6112108.002007011 -1590276.622162424 0, -6111980.208620083 -1590799.221560288 0, -6109483.496339465 -1590799.282272782 0, -6111542.82070825 -1582357.267083382 0, -6108147.382627172 -1582356.948398364 0, -6107927.254282742 -1583261.452428407 0, -6106629.028917667 -1583261.208355264 0, -6104880.777400093 -1590426.867248726 0, -6107876.700849473 -1590427.330598513 0, -6107298.795133103 -1592789.075696178 0, -6109196.258122777 -1592789.182443424 0, -6109442.278430567 -1591784.184884403 0, -6109941.616810934 -1591784.188887427 0))"
7,7,{AB665499-EC1A-4223-A0A8-6ED4AD865DD9},LAVRA APPLICATION,11.45,SAND,Uninformed,MT,In application,in operation,11.491983970475346,13794.385000370123,False,0,0.00929,358.2235946372381,"POLYGON Z ((-6056492.826688512 -1640090.898278832 0, -6056804.8772599 -1640581.014599744 0, -6056805.958316516 -1640584.041329059 0, -6056796.094435865 -1640589.056225905 0, -6056797.136547521 -1640593.080708418 0, -6056898.351889063 -1640593.078484522 0, -6056973.796942332 -1640291.690856643 0, -6056774.062744356 -1640291.694859667 0, -6056824.318307879 -1640090.903727389 0, -6056492.826688512 -1640090.898278832 0))"
8,8,{07B9F290-6966-4BBA-8D6A-3ECD7376F90E},LAVRA APPLICATION,16.32,SAND,Uninformed,MT,In application,in operation,16.380401101103278,14331.05639156908,True,0,0.00929,282.22292859973624,"POLYGON Z ((-6056796.868608191 -1640592.831520306 0, -6057013.813986219 -1641436.991774765 0, -6057105.961391568 -1641436.989773256 0, -6057194.059121068 -1641085.253804212 0, -6057064.341588879 -1641085.256695278 0, -6057132.290198303 -1640813.917417497 0, -6056992.47625024 -1640813.919641399 0, -6057047.833629857 -1640592.828406846 0, -6056796.868608191 -1640592.831520306 0))"
9,9,{E0C63575-7196-4E16-A5EF-5B79DEF8B198},LAVRA APPLICATION,21.79,SAND,Uninformed,MT,In application,in operation,21.863581415101425,15218.297561045758,False,0,0.00929,1022.1694943313208,"POLYGON Z ((-6057018.697047981 -1641457.588100654 0, -6057086.264227647 -1641914.745985777 0, -6056795.721052178 -1642387.477516289 0, -6056721.946302804 -1642456.522527079 0, -6056719.920716715 -1642462.653043885 0, -6057069.454384532 -1642462.650486394 0, -6057321.310007012 -1641457.590769339 0, -6057018.697047981 -1641457.588100654 0))"
10,10,{A917A947-8FF6-4C67-BF0D-F18663F5FFCE},LAVRA APPLICATION,3.15,SAND,Uninformed,MT,In application,in operation,3.160280540473103,16414.424390513483,True,0,0.00929,104.59378497942865,"POLYGON Z ((-6056064.573504409 -1642764.264952175 0, -6056016.730300929 -1642955.106462398 0, -6055906.877048133 -1642955.106573591 0, -6055883.923477473 -1643046.658241275 0, -6056285.479315992 -1642791.395766495 0, -6056316.270944552 -1642764.260281981 0, -6056064.573504409 -1642764.264952175 0))"
11,11,{9CCD27BD-2EF0-4B40-8C7C-A95BCDFE5EFF},LAVRA APPLICATION,6.48,SAND,Uninformed,MT,In application,in operation,6.508194752721807,16759.853404747773,False,0,0.00929,131.52643678825177,"POLYGON Z ((-6055711.624063102 -1643146.41966203 0, -6055380.956169846 -1643146.41821649 0, -6055350.743809342 -1643266.912733056 0, -6055131.038185025 -1643266.909174814 0, -6055077.991239553 -1643478.452868622 0, -6055079.865143561 -1643478.049786555 0, -6055711.624063102 -1643146.41966203 0))"
12,12,{3318CF93-03DD-49B3-84DF-F83E9EAFF829},LAVRA APPLICATION,35.94,SAND,Uninformed,MT,In application,in operation,36.0744607379015,17133.147264545696,False,0,0.00929,1481.7949870528716,"POLYGON Z ((-6054965.264398788 -1643528.229333634 0, -6054675.751551237 -1643528.228110489 0, -6054451.410709706 -1644422.640411199 0, -6055040.623617286 -1644422.638965666 0, -6055131.382591251 -1644060.854410967 0, -6054831.782406754 -1644060.856857258 0, -6054945.228834414 -1643608.525393377 0, -6054852.736996991 -1643658.170092256 0, -6054834.182783199 -1643606.832337514 0, -6054962.451129903 -1643539.49884096 0, -6054965.264398788 -1643528.229333634 0))"
13,13,{D69157F2-3E63-4218-B288-F3C746A2CDAB},LAVRA APPLICATION,47.1,SAND,Uninformed,MT,In application,in operation,47.270471226572134,18038.080559537273,True,0,0.00929,1817.3099802982213,"POLYGON Z ((-6055354.155149291 -1644764.806044512 0, -6055254.288707621 -1644764.806044512 0, -6055337.511579015 -1644433.170249037 0, -6054638.448811845 -1644433.158684753 0, -6054479.55444346 -1645066.281627676 0, -6055278.483654091 -1645066.293080765 0, -6055354.155149291 -1644764.806044512 0))"
14,14,{37C3B7BE-15E3-456B-A302-612D791663F2},LAVRA APPLICATION,29.85,SAND,Uninformed,MT,In application,in operation,29.95791934220841,18376.73165196226,True,0,0.00929,542.1768989944719,"POLYGON Z ((-6055354.155149291 -1644764.806044512 0, -6055278.483654091 -1645066.293080765 0, -6056272.16118618 -1645066.27028578 0, -6056347.832842012 -1644764.783249527 0, -6055354.155149291 -1644764.806044512 0))"
15,15,{DA736BFA-3FFB-4F29-BC1C-2BCE6BABFACD},LAVRA APPLICATION,34.5,SAND,Uninformed,MT,In application,in operation,34.624730425155235,18450.425335094606,False,0,0.00929,864.8650155633275,"POLYGON Z ((-6057491.144864495 -1644784.785349061 0, -6056342.686135063 -1644784.760330173 0, -6056266.987135093 -1645086.247366426 0, -6057415.445809804 -1645086.272385313 0, -6057491.144864495 -1644784.785349061 0))"
16,16,{061F2A68-2AF8-45FD-A9A0-C19B5E5023D0},LAVRA APPLICATION,31.42,SAND,Uninformed,MT,In application,in operation,31.533319935216273,18381.4675879843,False,0,0.00929,5498.2309559172045,"POLYGON Z ((-6057491.144864495 -1644784.785349061 0, -6057455.820316978 -1644925.479225182 0, -6058454.491173854 -1644925.456207809 0, -6058555.410935931 -1644523.473418676 0, -6057886.300119238 -1644523.493322588 0, -6057820.705071627 -1644784.782235601 0, -6057491.144864495 -1644784.785349061 0))"
17,17,{D6418B05-1CB8-4D02-84D6-6317E7CB024A},LAVRA APPLICATION,42.0,SAND,Uninformed,MT,In application,in operation,42.15183159418832,18610.58235554805,False,0,0.00929,3401.317197083841,"POLYGON Z ((-6058259.701342285 -1645816.461603323 0, -6058659.16838444 -1645816.457377905 0, -6058924.216069566 -1644761.252917821 0, -6058524.748968014 -1644761.257143232 0, -6058259.701342285 -1645816.461603323 0))"
18,18,{0FFA24BE-7DBB-4F65-8DE0-AB070DD27060},LAVRA APPLICATION,49.81,SAND,Uninformed,MT,In application,in operation,49.990664570452694,19642.997646787233,True,0,0.00929,4361.934520892626,"POLYGON Z ((-6057523.235362392 -1646956.116147895 0, -6057892.742202739 -1646956.112367265 0, -6058072.090918567 -1646242.593956231 0, -6058291.798445594 -1646242.58906365 0, -6058407.955733535 -1645780.309312047 0, -6058018.474576839 -1645780.316650919 0, -6057973.02549706 -1645961.20865028 0, -6057773.292295646 -1645961.209984619 0, -6057523.235362392 -1646956.116147895 0))"
19,19,{E7B7615C-1C32-4C8B-8BA4-A508D815E7B8},LAVRA APPLICATION,48.25,SAND,Uninformed,MT,In application,in operation,48.42426980372772,20751.062428649082,False,0,0.00929,4402.547828272935,"POLYGON Z ((-6056391.1647152 -1647848.223486375 0, -6057040.299166939 -1647848.213256431 0, -6057065.5737266 -1647747.717837133 0, -6057265.308353095 -1647747.710943043 0, -6057315.852925771 -1647546.719993258 0, -6057515.587862686 -1647546.711653629 0, -6057578.760187936 -1647295.472994192 0, -6057778.495612945 -1647295.462875442 0, -6057854.290038861 -1646993.976395171 0, -6057354.952262773 -1646993.998300592 0, -6057279.157929332 -1647295.484892063 0, -6057029.49009442 -1647295.491897353 0, -6056966.317744282 -1647546.730779178 0, -6056666.717011964 -1647546.735782953 0, -6056616.172588879 -1647747.726732738 0, -6056416.439253449 -1647747.728067077 0, -6056391.1647152 -1647848.223486375 0))"
20,20,{21B257E5-682F-4B67-8754-FAAFB89161FC},LAVRA APPLICATION,40.27,SAND,Uninformed,MT,In application,in operation,40.41581416087592,13428.171937971209,False,0,0.00929,1353.4026156740556,"POLYGON Z ((-6056305.117310469 -1639798.853036836 0, -6055655.985863177 -1639798.845697958 0, -6055605.690979646 -1639999.837870888 0, -6055455.892026863 -1639999.833645477 0, -6055405.591070388 -1640200.825818413 0, -6055255.792401648 -1640200.820703438 0, -6055218.062695826 -1640351.56472194 0, -6055068.264322771 -1640351.558717408 0, -6055017.952756069 -1640552.550779143 0, -6055417.41574274 -1640552.564789724 0, -6055467.727295061 -1640351.572727988 0, -6055567.593274615 -1640351.575285472 0, -6055597.777306706 -1640230.979914993 0, -6055777.536367213 -1640230.983473235 0, -6055800.173014122 -1640140.536973178 0, -6056219.612230562 -1640140.539753057 0, -6056305.117310469 -1639798.853036836 0))"
21,21,{A74092F9-C25F-48B9-9D94-85DD547B9964},LAVRA APPLICATION,38.03,SAND,Uninformed,MT,In application,in operation,38.16771873767954,14124.973465341931,True,0,0.00929,877.1178477575818,"POLYGON Z ((-6054141.264778315 -1641022.457955339 0, -6054045.658845236 -1641404.342794799 0, -6054215.432353132 -1641404.341682848 0, -6054253.174108714 -1641253.59777554 0, -6054472.881510021 -1641253.594773274 0, -6054513.135721336 -1641092.80116836 0, -6054732.843471688 -1641092.796164585 0, -6054775.609247403 -1640921.952973265 0, -6054945.383973844 -1640921.947635903 0, -6054978.084280304 -1640791.302901412 0, -6055247.726872643 -1640791.292004298 0, -6055315.634957114 -1640519.952726511 0, -6054896.191138959 -1640519.968405011 0, -6054863.496069389 -1640650.613139509 0, -6054643.788225618 -1640650.618365678 0, -6054593.483178097 -1640851.610427414 0, -6054373.77572534 -1640851.613652068 0, -6054331.011694239 -1641022.456843387 0, -6054141.264778315 -1641022.457955339 0))"
22,22,{27ABB6A0-9BBF-41FA-9A14-C1D99EF43DDA},LAVRA APPLICATION,43.88,SAND,Uninformed,MT,In application,in operation,44.03870698521549,14644.378075363358,True,0,0.00929,1727.8272410669044,"POLYGON Z ((-6054141.264778315 -1641022.457955339 0, -6053921.558398172 -1641022.457510557 0, -6053863.694350182 -1641253.598220322 0, -6053673.948199319 -1641253.596218807 0, -6053613.559717455 -1641494.786626178 0, -6053433.800774673 -1641494.783179129 0, -6053375.920400455 -1641725.924000088 0, -6053196.161682594 -1641725.919218701 0, -6053085.411859756 -1642168.10124302 0, -6053325.090087143 -1642168.107247552 0, -6053367.883362698 -1641997.264167433 0, -6053567.615670575 -1641997.267280893 0, -6053617.955101414 -1641796.275441545 0, -6053817.687875025 -1641796.276887084 0, -6053873.054292502 -1641575.185763725 0, -6054002.880807381 -1641575.185874918 0, -6054141.264778315 -1641022.457955339 0))"
23,23,{1DCAAFDA-C975-497E-95F0-47ED642A6E47},LAVRA APPLICATION,49.4,SAND,Uninformed,MT,In application,in operation,49.57877172073695,14929.742341516754,False,0,0.00929,1998.6284714921028,"POLYGON Z ((-6052314.583668675 -1641108.527262171 0, -6051935.090982508 -1641108.525149469 0, -6051608.009052197 -1642414.972272008 0, -6051987.501522552 -1642414.974495911 0, -6052314.583668675 -1641108.527262171 0))"
24,24,{51E5CE10-03AA-4623-AA6A-45096D56FAB2},LAVRA APPLICATION,49.35,SAND,Uninformed,MT,In application,in operation,49.528951821046974,14182.601507727599,True,0,0.00929,1860.5100518589882,"POLYGON Z ((-6051487.430269773 -1640216.687792576 0, -6051306.43605663 -1640940.259237063 0, -6051526.143039159 -1640940.25768033 0, -6051480.88230719 -1641121.150458061 0, -6051750.523183515 -1641121.145899062 0, -6051725.376230073 -1641221.64187433 0, -6052104.872419873 -1641221.630198853 0, -6052212.993665609 -1640789.497538546 0, -6051833.497605446 -1640789.509102835 0, -6051918.969283449 -1640447.822609002 0, -6051609.38139844 -1640447.827612778 0, -6051667.190497533 -1640216.686680625 0, -6051487.430269773 -1640216.687792576 0))"
25,25,{546DECAB-A6D0-4AC5-B742-DF3967D95884},LAVRA APPLICATION,49.38,SAND,Uninformed,MT,In application,in operation,49.55871004310202,13582.950030335249,True,0,0.00929,2014.733739394284,"POLYGON Z ((-6051487.430269773 -1640216.687792576 0, -6051407.53695881 -1640216.687792576 0, -6051508.05562312 -1639814.70344671 0, -6051248.402767749 -1639814.701778789 0, -6051323.775947791 -1639513.213519391 0, -6050784.499129115 -1639513.201065544 0, -6050704.10055397 -1639834.788608953 0, -6051013.685012187 -1639834.797282164 0, -6050918.191819463 -1640216.682232819 0, -6051127.910843156 -1640216.685902261 0, -6051072.615315994 -1640437.777248002 0, -6051252.374846684 -1640437.778804736 0, -6051181.988281713 -1640719.167668928 0, -6051361.748070453 -1640719.16800251 0, -6051487.430269773 -1640216.687792576 0))"
26,26,{24F90B30-E22B-452F-B038-C233697FAC39},LAVRA APPLICATION,42.32,SAND,Uninformed,MT,In application,in operation,42.473381879184174,13176.276381071788,True,0,0.00929,1553.533492134638,"POLYGON Z ((-6050024.391426962 -1639001.34967021 0, -6049969.152006324 -1639222.441127151 0, -6050448.513543773 -1639222.435345007 0, -6050383.221214021 -1639483.725258776 0, -6051172.175403188 -1639483.694791332 0, -6051237.467723327 -1639222.404988762 0, -6050957.837629064 -1639222.418665754 0, -6051013.077043199 -1639001.327208813 0, -6050024.391426962 -1639001.34967021 0))"
27,27,{86325C86-63C2-45EE-99D0-CAEFA4D31514},LAVRA APPLICATION,44.63,SAND,Uninformed,MT,In application,in operation,44.79160146774246,12950.667945328734,False,0,0.00929,1544.8400946352936,"POLYGON Z ((-6049349.629218079 -1638367.456256774 0, -6049271.82991516 -1638678.994324971 0, -6049501.523645303 -1638678.992768238 0, -6049443.792222794 -1638910.134033978 0, -6049763.36700969 -1638910.128029446 0, -6049733.243141696 -1639030.723399919 0, -6050452.290388425 -1639030.694711596 0, -6050482.414395478 -1638910.099341122 0, -6050252.717991018 -1638910.110905406 0, -6050310.449605222 -1638678.969639672 0, -6049831.085151635 -1638678.986652511 0, -6049908.884604769 -1638367.448361926 0, -6049349.629218079 -1638367.456256774 0))"
28,28,{5F1D15A8-1AA2-4B2A-8E8A-3CD75DDE8B7A},LAVRA APPLICATION,48.66,SAND,Uninformed,MT,In application,in operation,48.836492802470524,12022.555276708346,False,0,0.00929,1543.342400514548,"POLYGON Z ((-6049349.629218079 -1638367.456256774 0, -6049908.884604769 -1638367.448361926 0, -6049951.542474939 -1638196.604948219 0, -6049721.84791021 -1638196.609618412 0, -6049839.762271677 -1637724.277278138 0, -6050219.257956992 -1637724.268382533 0, -6050271.932384288 -1637513.226178415 0, -6049572.862413701 -1637513.238187481 0, -6049547.780193049 -1637613.734385136 0, -6049397.980184768 -1637613.734273942 0, -6049239.92779626 -1638246.860663913 0, -6049379.741146113 -1638246.860775107 0, -6049349.629218079 -1638367.456256774 0))"
29,29,{89D49677-4F40-4785-A635-1EA8B21186AC},LAVRA APPLICATION,43.31,SAND,Uninformed,MT,In application,in operation,43.46675898480658,11027.485374949745,False,0,0.00929,1691.5232788821581,"POLYGON Z ((-6050886.031928509 -1636686.746715585 0, -6050556.47205384 -1636686.745047657 0, -6050483.751947796 -1636978.184499013 0, -6050194.139856877 -1636978.179384044 0, -6050151.504976039 -1637149.023131333 0, -6049851.906972504 -1637149.014235734 0, -6049771.641347229 -1637470.602446307 0, -6050241.011837074 -1637470.614566572 0, -6050261.079758833 -1637390.217652922 0, -6050490.772526485 -1637390.220210406 0, -6050520.872401045 -1637269.624839927 0, -6050740.579174624 -1637269.625284708 0, -6050886.031928509 -1636686.746715585 0))"
30,30,{8580CF88-D049-4BB4-B118-B7E81922993B},LAVRA APPLICATION,44.24,SAND,Uninformed,MT,In application,in operation,44.40059472315042,10565.094294053517,True,0,0.00929,1319.8002439401816,"POLYGON Z ((-6050886.031928509 -1636686.746715585 0, -6050963.753132573 -1636375.207980224 0, -6050744.046428848 -1636375.207535442 0, -6050799.194674041 -1636154.115522525 0, -6049770.574502424 -1636154.086389419 0, -6049722.946932425 -1636345.02953192 0, -6050082.463410176 -1636345.044654445 0, -6050039.844695518 -1636515.888512934 0, -6050329.456046178 -1636515.896741369 0, -6050286.832984178 -1636686.740599858 0, -6050886.031928509 -1636686.746715585 0))"
31,31,{C2C21C56-90EB-4563-BCA3-3EC803BA9383},LAVRA APPLICATION,46.06,SAND,Uninformed,MT,In application,in operation,46.22685893586833,10490.838371173715,False,0,0.00929,1622.5378640273575,"POLYGON Z ((-6049242.493814172 -1635498.058155355 0, -6049117.235660817 -1636000.54025561 0, -6049416.836512547 -1636000.537698119 0, -6049366.722583954 -1636201.530427024 0, -6050295.491194158 -1636201.498847635 0, -6050353.12159313 -1635970.357248306 0, -6049833.809094619 -1635970.379376122 0, -6049876.400351807 -1635799.535406439 0, -6049556.824821226 -1635799.543412486 0, -6049631.975153429 -1635498.054152331 0, -6049242.493814172 -1635498.058155355 0))"
32,32,{18CD5C33-9BE2-49B4-959E-91F789030FBC},LAVRA APPLICATION,48.46,SAND,Uninformed,MT,In application,in operation,48.63527891495196,9499.30877788224,True,0,0.00929,1368.9398007594768,"POLYGON Z ((-6049242.493814172 -1635498.058155355 0, -6050341.035084232 -1635498.030690177 0, -6050398.641219262 -1635266.888979654 0, -6050558.430156562 -1635266.880751225 0, -6050646.076527653 -1634915.143114254 0, -6050306.5255521 -1634915.159237536 0, -6050268.964994667 -1635065.903923208 0, -6049769.627362736 -1635065.918823345 0, -6049727.054861571 -1635236.762904222 0, -6049307.613288002 -1635236.767352028 0, -6049242.493814172 -1635498.058155355 0))"
33,33,{34B11557-8DAF-4A58-8D1F-C9140FDCAA59},LAVRA APPLICATION,36.7,SAND,Uninformed,MT,In application,in operation,36.83300165396665,8901.785474129458,True,0,0.00929,1525.1175817191868,"POLYGON Z ((-6049950.913069694 -1634485.528577093 0, -6050130.673530407 -1634485.527465147 0, -6050083.105123961 -1634676.470830035 0, -6050292.825969202 -1634676.467938963 0, -6050222.715167061 -1634957.858026301 0, -6050602.211358235 -1634957.848129939 0, -6050719.890777296 -1634485.514677712 0, -6050400.314857028 -1634485.523462123 0, -6050482.920937035 -1634153.884886776 0, -6050033.519116849 -1634153.890112938 0, -6049950.913069694 -1634485.528577093 0))"
34,34,{FB75FB3A-418C-46F5-8750-F9240B8F2CFF},LAVRA APPLICATION,43.2,SAND,Uninformed,MT,In application,in operation,43.35666209594211,8982.736703584671,True,0,0.00929,1734.989407431094,"POLYGON Z ((-6049950.913069694 -1634485.528577093 0, -6050071.061930395 -1634003.145316073 0, -6049172.26434873 -1634003.130638323 0, -6049052.115699464 -1634485.513899349 0, -6049950.913069694 -1634485.528577093 0))"
35,35,{5B303743-4901-498A-9FD1-559B0170FA19},WASTE GARIMPEIRA,50.0,GOLD,Industrial,MT,Exploitation,in operation,50.18330141814377,11634.91337607268,True,0,60328.63,6813.063882067084,"POLYGON Z ((-6083373.282490242 -1595450.668036663 0, -6083127.744179005 -1596455.662815811 0, -6083627.084568222 -1596455.656588884 0, -6083872.622996775 -1595450.661809742 0, -6083373.282490242 -1595450.668036663 0))"
36,36,{BE087254-2754-422F-9C33-6CF2EB63036C},WASTE GARIMPEIRA,50.0,GOLD,Industrial,MT,Exploitation,in operation,50.18330141121306,11535.175367627686,False,0,60328.63,3060.8391409565475,"POLYGON Z ((-6083373.282490242 -1595450.668036663 0, -6082873.944482367 -1595450.664033639 0, -6082628.406289992 -1596455.658812787 0, -6083127.744179005 -1596455.662815811 0, -6083373.282490242 -1595450.668036663 0))"
37,37,{527EED16-7CB2-4F7C-9EAB-83E632D8EADB},WASTE GARIMPEIRA,50.0,GOLD,Industrial,MT,Exploitation,in operation,50.183259497245544,11057.63738635302,False,0,60328.63,8765.685179212362,"POLYGON Z ((-6082836.649426566 -1596455.465444589 0, -6082713.829441165 -1596957.962667375 0, -6083712.512438895 -1596957.940205972 0, -6083835.332497022 -1596455.44320558 0, -6082836.649426566 -1596455.465444589 0))"
