,index,ID,FASE,AREA_HA,SUBS,USO,UF,status,leyenda,Area_Calc,distance,mining,Urban_Area,YIELD,biomass_to,geometry
0,0,{5A09F66D-CEDD-4D82-9EEF-E7F98286C25A},WASTE GARIMPEIRA,50.0,GOLD,Uninformed,MT,Exploitation,in operation,50.20263580912297,88991.08838057425,True,0,60328.63,9741.516849798312,"MULTIPOLYGON Z (((-6166834.34257589 -1159648.167712296 0, -6167333.730388284 -1159648.16337569 0, -6167512.75200353 -1158642.878266266 0, -6167013.364110508 -1158642.882714065 0, -6166834.34257589 -1159648.167712296 0)))"
1,1,{69A189A8-C2AB-4024-9DA7-9D7A876144C5},WASTE GARIMPEIRA,50.0,GOLD,Uninformed,MT,Exploitation,in operation,50.20260952490693,89921.41686068621,True,0,60328.63,5163.665647528374,"MULTIPOLYGON Z (((-6166834.34257589 -1159648.167712296 0, -6166655.168352368 -1160653.44792915 0, -6166655.16835272 -1160653.44792915 0, -6167154.556288836 -1160653.442480607 0, -6167333.730388284 -1159648.16337569 0, -6166834.34257589 -1159648.167712296 0)), ((-6166655.167559625 -1160653.45237694 0, -6166655.167559624 -1160653.452376944 0, -6167045.991041011 -1160653.448983094 0, -6166655.167559625 -1160653.45237694 0)))"
2,2,{BAE63F8F-10D2-457E-B35D-A3474EB992E4},WASTE GARIMPEIRA,50.0,GOLD,Uninformed,MT,Exploitation,in operation,50.20260952120839,89800.97880854743,True,0,60328.63,4658.23949814519,"MULTIPOLYGON Z (((-6166834.34257589 -1159648.167712296 0, -6166336.110555284 -1159648.16493885 0, -6166335.5355874 -1159651.39414793 0, -6166334.380476656 -1159651.394158218 0, -6166155.781090311 -1160653.449597072 0, -6166655.167559624 -1160653.452376944 0, -6166834.34257589 -1159648.167712296 0)))"
3,3,{D061373F-2C14-4632-95B2-D41D405588FF},WASTE GARIMPEIRA,50.0,GOLD,Uninformed,MT,Exploitation,in operation,50.20260200401069,89686.44184019238,True,0,60328.63,14340.564620372905,"MULTIPOLYGON Z (((-6165836.147692581 -1159651.398595728 0, -6165657.001317635 -1160656.683037989 0, -6166156.389009145 -1160656.678701377 0, -6166335.535587404 -1159651.394147928 0, -6165836.147692581 -1159651.398595728 0)))"
4,4,{8A13A50B-6879-40F0-8966-4D925C386D60},WASTE GARIMPEIRA,50.0,GOLD,Uninformed,MT,Exploitation,in operation,50.202602001207374,89571.25313501547,True,0,60328.63,14908.33931088696,"MULTIPOLYGON Z (((-6165836.147692581 -1159651.398595728 0, -6165336.761214415 -1159651.395704655 0, -6165157.614785541 -1160656.68025811 0, -6165657.001317635 -1160656.683037989 0, -6165836.147692581 -1159651.398595728 0), (-6165336.453222329 -1159653.12400979 0, -6165336.76121442 -1159651.39570466 0, -6165336.810266525 -1159651.395704944 0, -6165336.50258746 -1159653.12400935 0, -6165336.453222329 -1159653.12400979 0)))"
5,5,{41C99C76-6927-403E-8347-2FAB3B002411},WASTE GARIMPEIRA,50.0,GOLD,Uninformed,MT,Exploitation,in operation,50.20264130364157,88868.38343235696,True,0,60328.63,3847.2047224426206,"MULTIPOLYGON Z (((-6166834.34257589 -1159648.167712296 0, -6167013.364110508 -1158642.882714065 0, -6166513.977414503 -1158642.879822993 0, -6166334.956031384 -1159648.164932424 0, -6166834.34257589 -1159648.167712296 0)))"
6,6,{A2D9CED3-98DB-427D-99C7-1633CF60D847},WASTE GARIMPEIRA,50.0,GOLD,Uninformed,MT,Exploitation,in operation,50.20265594619757,88751.59333830696,True,0,60328.63,1868.684579101703,"MULTIPOLYGON Z (((-6165836.147692581 -1159651.398595728 0, -6166335.535587404 -1159651.394147928 0, -6166514.528864357 -1158646.108927304 0, -6166015.140799303 -1158646.113375109 0, -6165836.147692581 -1159651.398595728 0)))"
7,7,{4673DA5D-43AF-4A6E-90B6-7FADC2D26FBE},WASTE GARIMPEIRA,50.0,GOLD,Uninformed,MT,Exploitation,in operation,50.20263945190952,88634.18126261982,True,0,60328.63,6279.2096512581575,"MULTIPOLYGON Z (((-6165836.147692581 -1159651.398595728 0, -6166015.140799303 -1158646.113375109 0, -6165515.754259144 -1158646.110484037 0, -6165336.761214415 -1159651.395704655 0, -6165836.147692581 -1159651.398595728 0)))"
8,8,{823D94F9-D489-4F07-9865-EA1C8C47BE78},WASTE GARIMPEIRA,50.0,GOLD,Uninformed,MT,Exploitation,in operation,50.20264510921842,88521.05565436566,True,0,60328.63,10553.359352327123,"MULTIPOLYGON Z (((-6164837.114717721 -1159653.128457149 0, -6165336.502587461 -1159653.12400935 0, -6165515.467095934 -1158647.83901112 0, -6165016.079075733 -1158647.843347725 0, -6164837.114717721 -1159653.128457149 0)))"
9,9,{09053407-4F42-42F6-8BC4-99A87B2470D0},WASTE GARIMPEIRA,50.0,GOLD,Uninformed,MT,Exploitation,in operation,50.20263960799561,88408.98095328225,True,0,60328.63,10457.916191643528,"MULTIPOLYGON Z (((-6164837.114717721 -1159653.128457149 0, -6165016.079075733 -1158647.843347725 0, -6164516.692431283 -1158647.840567847 0, -6164337.728155072 -1159653.125566083 0, -6164837.114717721 -1159653.128457149 0)))"
10,10,{DB39CA01-DC6B-4802-BAE7-1E5F9105318E},WASTE GARIMPEIRA,50.0,GOLD,Uninformed,MT,Exploitation,in operation,50.202602271101085,89460.3380206344,True,0,60328.63,14025.755388260905,"MULTIPOLYGON Z (((-6164837.114717721 -1159653.128457149 0, -6164657.997076729 -1160658.413010604 0, -6165157.384762956 -1160658.408562805 0, -6165336.502587461 -1159653.12400935 0, -6164837.114717721 -1159653.128457149 0)))"
11,11,{798F2E4D-1DDF-4FAA-A1EA-5255A6E9108D},WASTE GARIMPEIRA,50.0,GOLD,Uninformed,MT,Exploitation,in operation,50.202607763699255,89350.44163749737,True,0,60328.63,12397.414370262117,"MULTIPOLYGON Z (((-6164837.114717721 -1159653.128457149 0, -6164337.728155072 -1159653.125566083 0, -6164158.610589356 -1160658.410119532 0, -6164657.997076729 -1160658.413010604 0, -6164837.114717721 -1159653.128457149 0)))"
12,12,{7B9B3DBB-F7BF-4896-94D7-E204E4F57F7A},LICENSING,50.0,SAND,Construction,MT,Exploitation,in operation,50.20489436116429,345.3172476854701,False,0,0.00929,3.791844050110069,"MULTIPOLYGON Z (((-6147524.543656393 -1072613.823259759 0, -6147529.217781792 -1072414.737970773 0, -6145039.620523009 -1072760.988687907 0, -6144953.980491894 -1072971.328139294 0, -6147524.543656393 -1072613.823259759 0), (-6145138.933832899 -1072945.605479443 0, -6145114.983189357 -1072948.936450668 0, -6145114.9832064 -1072948.9363469 0, -6145138.93384791 -1072945.60538792 0, -6145138.933832899 -1072945.605479443 0)))"
13,13,{32628E14-ACE2-412D-BB59-0FF31224E76C},LICENSING,50.0,SAND,Construction,MT,Exploitation,in operation,50.205784927137,221.46396069846796,False,0,0.00929,2102.4530104253754,"MULTIPOLYGON Z (((-6142626.037356383 -1072374.846189904 0, -6144697.780463675 -1072906.50577462 0, -6144697.78072124 -1072906.50420387 0, -6144953.567299108 -1072972.146887277 0, -6144953.567659087 -1072972.146979657 0, -6145033.060469849 -1072776.839542562 0, -6142705.51208577 -1072179.541755075 0, -6142626.037356383 -1072374.846189904 0)))"
14,14,{6DFF0DE3-8115-4BD2-9F02-8A73700D5631},LICENSING,50.0,SAND,Construction,MT,Exploitation,in operation,50.20583606260145,5125.465275203647,False,0,0.00929,6901.738522326706,"MULTIPOLYGON Z (((-6149963.867861877 -1071438.56606105 0, -6152369.502609869 -1070279.914953791 0, -6152306.626798083 -1070101.491151001 0, -6149901.024240146 -1071260.136920897 0, -6149963.867861877 -1071438.56606105 0)))"
15,15,{5F99D335-505C-46A4-B8CE-BE9A84D29109},LICENSING,50.0,SAND,Construction,MT,Exploitation,in operation,50.20545139585836,2614.5575796134876,False,0,0.00929,425.53033624665676,"MULTIPOLYGON Z (((-6147524.543656393 -1072613.823259759 0, -6149963.994279434 -1071438.950573538 0, -6149901.139125132 -1071260.526993135 0, -6147529.084101659 -1072402.953852752 0, -6147524.543656393 -1072613.823259759 0)))"
16,16,{AEA701E0-DB29-4251-9F2D-8CDBF734E5B1},LICENSING,48.58,SAND,Construction,MT,Exploitation,in operation,48.78108443185658,188.45286750896707,False,0,0.00929,547.014764819073,"MULTIPOLYGON Z (((-6142625.975124361 -1072374.60978922 0, -6142705.587714046 -1072179.880455205 0, -6142692.47819996 -1072175.960162448 0, -6140694.785596411 -1071663.189406425 0, -6140345.252226395 -1071663.169057731 0, -6140322.483237641 -1071719.689933172 0, -6140335.980485437 -1071686.184876378 0, -6140335.98065177 -1071686.18487676 0, -6140299.248615702 -1071777.366678799 0, -6140299.247483403 -1071777.369489573 0, -6142625.975124361 -1072374.60978922 0)))"
17,17,{DE908E03-424C-4EDC-BB21-16DC5C915805},LICENSING,40.48,SAND,Construction,MT,Exploitation,in operation,40.64201766340982,34.70855205569129,False,0,0.00929,5120.849724344311,"MULTIPOLYGON Z (((-6140298.957388507 -1071776.517735476 0, -6140344.743155671 -1071663.921069872 0, -6139417.448036257 -1071663.911507098 0, -6138087.909696129 -1071790.433129058 0, -6138054.863881433 -1071992.303965295 0, -6140294.530840633 -1071777.522271577 0, -6140298.957388507 -1071776.517735476 0)))"
18,18,{05E78CFA-487F-4948-865D-D749EFCC48B9},LAVRA GARIMPEIRA REQUIREMENT,50.0,GOLD,Industrial,MT,In application,request,50.20263898918718,89408.75271775623,True,0,60328.63,8771.172656817658,"MULTIPOLYGON Z (((-6167952.676228937 -1159786.260847348 0, -6168452.064037409 -1159786.256399549 0, -6168631.139909931 -1158780.971401312 0, -6168131.751949249 -1158780.975737924 0, -6167952.676228937 -1159786.260847348 0)))"
19,19,{2469AFF3-34F9-4D19-BC7D-C42DEC8454BA},LAVRA GARIMPEIRA REQUIREMENT,50.0,GOLD,Industrial,MT,In application,request,50.202641761249325,89280.36644602589,True,0,60328.63,10331.753599190488,"MULTIPOLYGON Z (((-6167952.676228937 -1159786.260847348 0, -6168131.751949249 -1158780.975737924 0, -6167632.36536511 -1158780.972958045 0, -6167453.289599193 -1159786.25806747 0, -6167952.676228937 -1159786.260847348 0)))"
